1010(10) 0100(4) | GT:1 LT:0 EQ:0
1010(10) 0101(5) | GT:1 LT:0 EQ:0
1010(10) 0110(6) | GT:1 LT:0 EQ:0
1010(10) 0111(7) | GT:1 LT:0 EQ:0
1010(10) 1000(8) | GT:1 LT:0 EQ:0
1010(10) 1001(9) | GT:1 LT:0 EQ:0
1010(10) 1010(10) | GT:0 LT:0 EQ:1
1010(10) 1011(11) | GT:0 LT:1 EQ:0
1010(10) 1100(12) | GT:0 LT:1 EQ:0
1010(10) 1101(13) | GT:0 LT:1 EQ:0
1010(10) 1110(14) | GT:0 LT:1 EQ:0
1010(10) 1111(15) | GT:0 LT:1 EQ:0
1011(11) 0000(0) | GT:1 LT:0 EQ:0
1011(11) 0001(1) | GT:1 LT:0 EQ:0
1011(11) 0010(2) | GT:1 LT:0 EQ:0
1011(11) 0011(3) | GT:1 LT:0 EQ:0
1011(11) 0100(4) | GT:1 LT:0 EQ:0
1011(11) 0101(5) | GT:1 LT:0 EQ:0
1011(11) 0110(6) | GT:1 LT:0 EQ:0
1011(11) 0111(7) | GT:1 LT:0 EQ:0
1011(11) 1000(8) | GT:1 LT:0 EQ:0
1011(11) 1001(9) | GT:1 LT:0 EQ:0
1011(11) 1010(10) | GT:1 LT:0 EQ:0
1011(11) 1011(11) | GT:0 LT:0 EQ:1
1011(11) 1100(12) | GT:0 LT:1 EQ:0
1011(11) 1101(13) | GT:0 LT:1 EQ:0
1011(11) 1110(14) | GT:0 LT:1 EQ:0
1011(11) 1111(15) | GT:0 LT:1 EQ:0
1100(12) 0000(0) | GT:1 LT:0 EQ:0
1100(12) 0001(1) | GT:1 LT:0 EQ:0
1100(12) 0010(2) | GT:1 LT:0 EQ:0
1100(12) 0011(3) | GT:1 LT:0 EQ:0
1100(12) 0100(4) | GT:1 LT:0 EQ:0
1100(12) 0101(5) | GT:1 LT:0 EQ:0
1100(12) 0110(6) | GT:1 LT:0 EQ:0
1100(12) 0111(7) | GT:1 LT:0 EQ:0
1100(12) 1000(8) | GT:1 LT:0 EQ:0
1100(12) 1001(9) | GT:1 LT:0 EQ:0
1100(12) 1010(10) | GT:1 LT:0 EQ:0
1100(12) 1011(11) | GT:1 LT:0 EQ:0
1100(12) 1100(12) | GT:0 LT:0 EQ:1
1100(12) 1101(13) | GT:0 LT:1 EQ:0
1100(12) 1110(14) | GT:0 LT:1 EQ:0
1100(12) 1111(15) | GT:0 LT:1 EQ:0
1101(13) 0000(0) | GT:1 LT:0 EQ:0
1101(13) 0001(1) | GT:1 LT:0 EQ:0
1101(13) 0010(2) | GT:1 LT:0 EQ:0
1101(13) 0011(3) | GT:1 LT:0 EQ:0
1101(13) 0100(4) | GT:1 LT:0 EQ:0
1101(13) 0101(5) | GT:1 LT:0 EQ:0
1101(13) 0110(6) | GT:1 LT:0 EQ:0
1101(13) 0111(7) | GT:1 LT:0 EQ:0
1101(13) 1000(8) | GT:1 LT:0 EQ:0
1101(13) 1001(9) | GT:1 LT:0 EQ:0
1101(13) 1010(10) | GT:1 LT:0 EQ:0
1101(13) 1011(11) | GT:1 LT:0 EQ:0
1101(13) 1100(12) | GT:1 LT:0 EQ:0
1101(13) 1101(13) | GT:0 LT:0 EQ:1
1101(13) 1110(14) | GT:0 LT:1 EQ:0
1101(13) 1111(15) | GT:0 LT:1 EQ:0
1110(14) 0000(0) | GT:1 LT:0 EQ:0
1110(14) 0001(1) | GT:1 LT:0 EQ:0
1110(14) 0010(2) | GT:1 LT:0 EQ:0
1110(14) 0011(3) | GT:1 LT:0 EQ:0
1110(14) 0100(4) | GT:1 LT:0 EQ:0
1110(14) 0101(5) | GT:1 LT:0 EQ:0
1110(14) 0110(6) | GT:1 LT:0 EQ:0
1110(14) 0111(7) | GT:1 LT:0 EQ:0
1110(14) 1000(8) | GT:1 LT:0 EQ:0
1110(14) 1001(9) | GT:1 LT:0 EQ:0
1110(14) 1010(10) | GT:1 LT:0 EQ:0
1110(14) 1011(11) | GT:1 LT:0 EQ:0
1110(14) 1100(12) | GT:1 LT:0 EQ:0
1110(14) 1101(13) | GT:1 LT:0 EQ:0
1110(14) 1110(14) | GT:0 LT:0 EQ:1
1110(14) 1111(15) | GT:0 LT:1 EQ:0
1111(15) 0000(0) | GT:1 LT:0 EQ:0
1111(15) 0001(1) | GT:1 LT:0 EQ:0
1111(15) 0010(2) | GT:1 LT:0 EQ:0
1111(15) 0011(3) | GT:1 LT:0 EQ:0
1111(15) 0100(4) | GT:1 LT:0 EQ:0
1111(15) 0101(5) | GT:1 LT:0 EQ:0
1111(15) 0110(6) | GT:1 LT:0 EQ:0
1111(15) 0111(7) | GT:1 LT:0 EQ:0
1111(15) 1000(8) | GT:1 LT:0 EQ:0
1111(15) 1001(9) | GT:1 LT:0 EQ:0
1111(15) 1010(10) | GT:1 LT:0 EQ:0
1111(15) 1011(11) | GT:1 LT:0 EQ:0
1111(15) 1100(12) | GT:1 LT:0 EQ:0
1111(15) 1101(13) | GT:1 LT:0 EQ:0
1111(15) 1110(14) | GT:1 LT:0 EQ:0
1111(15) 1111(15) | GT:0 LT:0 EQ:1
